Формат имени чертежа: <task_id>_<класс>.svg
Пример: f2_560_5.svg = задача f2_560 (класс 5).
Суффикс после последнего "_" — это КЛАСС, не часть id.

task_id	класс	файл_чертежа
f2_2509	5	(НЕТ ЧЕРТЕЖА)
f2_2510	5	f2_2510_5.svg
f2_2511	5	f2_2511_5.svg
f2_2512	5	(НЕТ ЧЕРТЕЖА)
f2_2513	5	f2_2513_5.svg
f2_2514	5	f2_2514_5.svg
f2_2515	5	f2_2515_5.svg
f2_2516	5	(НЕТ ЧЕРТЕЖА)
f2_2517	5	(НЕТ ЧЕРТЕЖА)
f2_2518	5	(НЕТ ЧЕРТЕЖА)
f2_2519	5	(НЕТ ЧЕРТЕЖА)
f2_3500	6	f2_3500_6.svg
f2_3501	6	f2_3501_6.svg
f2_3502	6	f2_3502_6.svg
f2_3504	6	f2_3504_6.svg
f2_3506	6	f2_3506_6.svg
f2_3507	6	f2_3507_6.svg
f2_3508	6	f2_3508_6.svg
f2_3509	6	f2_3509_6.svg
f2_3510	6	f2_3510_6.svg
f2_3511	6	f2_3511_6.svg
f2_3514	6	f2_3514_6.svg
f2_3515	6	f2_3515_6.svg
f2_3516	6	f2_3516_6.svg
f2_3517	6	f2_3517_6.svg
f2_3518	6	f2_3518_6.svg
f2_3519	6	f2_3519_6.svg
f2_3520	6	f2_3520_6.svg
f2_3521	6	f2_3521_6.svg
f2_3522	6	f2_3522_6.svg
f2_3523	6	f2_3523_6.svg
f2_3524	6	f2_3524_6.svg
f2_3525	6	f2_3525_6.svg
f2_3526	6	f2_3526_6.svg
f2_3527	6	f2_3527_6.svg
f2_3529	6	f2_3529_6.svg
f2_3531	6	f2_3531_6.svg
f2_3532	6	f2_3532_6.svg
f2_3533	6	f2_3533_6.svg
f2_3534	6	f2_3534_6.svg
f2_3535	6	f2_3535_6.svg
f2_3536	6	f2_3536_6.svg
f2_3537	6	f2_3537_6.svg
f2_3538	6	f2_3538_6.svg
f2_3539	6	f2_3539_6.svg
f2_3540	6	f2_3540_6.svg
f2_3541	6	f2_3541_6.svg
f2_3542	6	f2_3542_6.svg
f2_3543	6	f2_3543_6.svg
f2_3544	6	f2_3544_6.svg
f2_3545	6	f2_3545_6.svg
f2_3546	6	f2_3546_6.svg
f2_3547	6	f2_3547_6.svg
f2_3548	6	f2_3548_6.svg
f2_3549	6	f2_3549_6.svg
f2_3550	6	f2_3550_6.svg
f2_3551	6	f2_3551_6.svg
f2_3552	6	f2_3552_6.svg
f2_3553	6	f2_3553_6.svg
f2_3554	6	f2_3554_6.svg
f2_3555	6	f2_3555_6.svg
f2_3556	6	f2_3556_6.svg
f2_3557	6	f2_3557_6.svg
f2_3558	6	f2_3558_6.svg
f2_3559	6	f2_3559_6.svg
f2_3560	6	f2_3560_6.svg
f2_3561	6	f2_3561_6.svg
f2_3562	6	f2_3562_6.svg
f2_3563	6	f2_3563_6.svg
f2_3564	6	f2_3564_6.svg
f2_3565	6	f2_3565_6.svg
f2_3566	6	f2_3566_6.svg
f2_3567	6	f2_3567_6.svg
f2_3568	6	f2_3568_6.svg
f2_3569	6	f2_3569_6.svg
f2_3605	6	f2_3605_6.svg
f2_3606	6	f2_3606_6.svg
f2_3607	6	f2_3607_6.svg
f2_3608	6	f2_3608_6.svg
f2_3609	6	f2_3609_6.svg
f2_3610	6	(НЕТ ЧЕРТЕЖА)
f2_3611	6	f2_3611_6.svg
f2_3612	6	f2_3612_6.svg
f2_3613	6	f2_3613_6.svg
f2_3614	6	(НЕТ ЧЕРТЕЖА)
f2_3615	6	f2_3615_6.svg
f2_3616	6	f2_3616_6.svg
f2_3617	6	f2_3617_6.svg
f2_3618	6	f2_3618_6.svg
f2_3619	6	f2_3619_6.svg
f2_3620	6	f2_3620_6.svg
f2_3621	6	(НЕТ ЧЕРТЕЖА)
f2_3622	6	f2_3622_6.svg
f2_3623	6	(НЕТ ЧЕРТЕЖА)
f2_3624	6	f2_3624_6.svg
f2_3625	6	f2_3625_6.svg
f2_3626	6	f2_3626_6.svg
f2_3627	6	f2_3627_6.svg
f2_3628	6	f2_3628_6.svg
f2_3629	6	f2_3629_6.svg
f2_3630	6	f2_3630_6.svg
f2_3631	6	f2_3631_6.svg
f2_3632	6	f2_3632_6.svg
f2_3633	6	f2_3633_6.svg
f2_3634	6	f2_3634_6.svg
f2_3635	6	f2_3635_6.svg
f2_3636	6	(НЕТ ЧЕРТЕЖА)
f2_3637	6	f2_3637_6.svg
f2_3638	6	f2_3638_6.svg
f2_3639	6	f2_3639_6.svg
f2_4484	6	f2_4484_6.svg
f2_4487	6	f2_4487_6.svg
f2_4494	6	f2_4494_6.svg
f2_4496	6	f2_4496_6.svg
f2_4497	6	f2_4497_6.svg
f2_4498	6	f2_4498_6.svg
f2_4503	6	f2_4503_6.svg
f2_4507	6	f2_4507_6.svg
f2_4508	6	f2_4508_6.svg
f2_4509	6	f2_4509_6.svg
f2_4512	6	f2_4512_6.svg
f2_4513	6	f2_4513_6.svg
f2_4514	6	f2_4514_6.svg
f2_4516	6	f2_4516_6.svg
f2_4519	6	(НЕТ ЧЕРТЕЖА)
f2_4522	6	f2_4522_6.svg
f2_4524	6	f2_4524_6.svg
f2_4526	6	f2_4526_6.svg
f2_4528	6	f2_4528_6.svg
f2_4529	6	f2_4529_6.svg
f2_4530	6	f2_4530_6.svg
f2_4531	6	f2_4531_6.svg
f2_4533	6	f2_4533_6.svg
f2_4534	6	f2_4534_6.svg
f2_4537	6	f2_4537_6.svg
f2_4539	6	f2_4539_6.svg
f2_4541	6	(НЕТ ЧЕРТЕЖА)
f2_4542	6	f2_4542_6.svg
f2_4544	6	f2_4544_6.svg
f2_4545	6	f2_4545_6.svg
f2_4547	6	f2_4547_6.svg
f2_4585	6	f2_4585_6.svg
f2_4586	6	f2_4586_6.svg
f2_4587	6	f2_4587_6.svg
f2_4588	6	f2_4588_6.svg
f2_4589	6	f2_4589_6.svg
f2_4590	6	f2_4590_6.svg
f2_4591	6	f2_4591_6.svg
f2_4592	6	f2_4592_6.svg
f2_4593	6	f2_4593_6.svg
f2_4594	6	f2_4594_6.svg
f2_4595	6	(НЕТ ЧЕРТЕЖА)
f2_4596	6	f2_4596_6.svg
f2_4597	6	f2_4597_6.svg
f2_4598	6	f2_4598_6.svg
f2_4599	6	f2_4599_6.svg
f2_4600	6	(НЕТ ЧЕРТЕЖА)
f2_4601	6	(НЕТ ЧЕРТЕЖА)
f2_4602	6	(НЕТ ЧЕРТЕЖА)
f2_4604	6	f2_4604_6.svg
f2_4605	6	f2_4605_6.svg
f2_4606	6	f2_4606_6.svg
f2_4607	6	f2_4607_6.svg
f2_4608	6	f2_4608_6.svg
f2_4609	6	f2_4609_6.svg
f2_4610	6	f2_4610_6.svg
f2_4611	6	f2_4611_6.svg
f2_4612	6	f2_4612_6.svg
f2_4613	6	f2_4613_6.svg
f2_4614	6	f2_4614_6.svg
f2_4615	6	f2_4615_6.svg
f2_4616	6	f2_4616_6.svg
f2_4617	6	f2_4617_6.svg
f2_4619	6	f2_4619_6.svg
f2_5186	6	f2_5186_6.svg
f2_5191	6	f2_5191_6.svg
f2_5192	6	f2_5192_6.svg
f2_5196	6	f2_5196_6.svg
f2_5197	6	f2_5197_6.svg
f2_5201	6	f2_5201_6.svg
f2_5202	6	f2_5202_6.svg
f2_5205	6	f2_5205_6.svg
f2_5206	6	f2_5206_6.svg
f2_5208	6	f2_5208_6.svg
f2_5214	6	f2_5214_6.svg
f2_5215	6	f2_5215_6.svg
f2_5216	6	f2_5216_6.svg
f2_5217	6	f2_5217_6.svg
f2_5218	6	f2_5218_6.svg
f2_5219	6	f2_5219_6.svg
f2_5220	6	f2_5220_6.svg
f2_5223	6	f2_5223_6.svg
f2_5224	6	f2_5224_6.svg
f2_5225	6	f2_5225_6.svg
f2_5226	6	f2_5226_6.svg
f2_5227	6	f2_5227_6.svg
f2_5228	6	f2_5228_6.svg
f2_5229	6	f2_5229_6.svg
f2_5230	6	f2_5230_6.svg
f2_5232	6	f2_5232_6.svg
f2_5233	6	f2_5233_6.svg
f2_5235	6	f2_5235_6.svg
f2_5236	6	f2_5236_6.svg
f2_5237	6	f2_5237_6.svg
f2_5239	6	f2_5239_6.svg
f2_5240	6	f2_5240_6.svg
f2_5241	6	f2_5241_6.svg
f2_5242	6	f2_5242_6.svg
f2_5243	6	f2_5243_6.svg
f2_5244	6	f2_5244_6.svg
f2_5245	6	f2_5245_6.svg
f2_5247	6	f2_5247_6.svg
f2_5249	6	f2_5249_6.svg
f2_5285	6	(НЕТ ЧЕРТЕЖА)
f2_5286	6	f2_5286_6.svg
f2_5287	6	f2_5287_6.svg
f2_5288	6	(НЕТ ЧЕРТЕЖА)
f2_5289	6	(НЕТ ЧЕРТЕЖА)
f2_5290	6	(НЕТ ЧЕРТЕЖА)
f2_5291	6	(НЕТ ЧЕРТЕЖА)
f2_5292	6	f2_5292_6.svg
f2_5293	6	(НЕТ ЧЕРТЕЖА)
f2_5294	6	f2_5294_6.svg
f2_5295	6	(НЕТ ЧЕРТЕЖА)
f2_5296	6	f2_5296_6.svg
f2_5297	6	(НЕТ ЧЕРТЕЖА)
f2_5298	6	f2_5298_6.svg
f2_5299	6	(НЕТ ЧЕРТЕЖА)
f2_5300	6	f2_5300_6.svg
f2_5301	6	(НЕТ ЧЕРТЕЖА)
f2_5302	6	f2_5302_6.svg
f2_5303	6	f2_5303_6.svg
f2_5304	6	(НЕТ ЧЕРТЕЖА)
f2_5305	6	(НЕТ ЧЕРТЕЖА)
f2_5306	6	(НЕТ ЧЕРТЕЖА)
f2_5307	6	(НЕТ ЧЕРТЕЖА)
f2_5308	6	(НЕТ ЧЕРТЕЖА)
f2_5309	6	(НЕТ ЧЕРТЕЖА)
f2_5310	6	f2_5310_6.svg
f2_5311	6	f2_5311_6.svg
f2_5312	6	f2_5312_6.svg
f2_5313	6	f2_5313_6.svg
f2_5314	6	f2_5314_6.svg
f2_5315	6	f2_5315_6.svg
f2_5316	6	(НЕТ ЧЕРТЕЖА)
f2_5317	6	(НЕТ ЧЕРТЕЖА)
f2_5318	6	(НЕТ ЧЕРТЕЖА)
f2_5319	6	(НЕТ ЧЕРТЕЖА)
f2_5323	6	(НЕТ ЧЕРТЕЖА)
f2_5337	6	f2_5337_6.svg
f2_5339	6	(НЕТ ЧЕРТЕЖА)
